id,path1,path2,path3,label
43119281218545359,/Users/daiz/summarize_170607/good/warps_43119281218545359_1/coadd.fits,/Users/daiz/summarize_170607/good/warps_43119281218545359_2/coadd.fits,/Users/daiz/summarize_170607/good/warps_43119281218545359_3/coadd.fits,1
43119281218545359,/Users/daiz/summarize_170607/good/warps_43119281218545359_1/coaddr90.fits,/Users/daiz/summarize_170607/good/warps_43119281218545359_2/coaddr90.fits,/Users/daiz/summarize_170607/good/warps_43119281218545359_3/coaddr90.fits,1
43119281218545359,/Users/daiz/summarize_170607/good/warps_43119281218545359_1/coaddr180.fits,/Users/daiz/summarize_170607/good/warps_43119281218545359_2/coaddr180.fits,/Users/daiz/summarize_170607/good/warps_43119281218545359_3/coaddr180.fits,1
43119281218545359,/Users/daiz/summarize_170607/good/warps_43119281218545359_1/coaddr270.fits,/Users/daiz/summarize_170607/good/warps_43119281218545359_2/coaddr270.fits,/Users/daiz/summarize_170607/good/warps_43119281218545359_3/coaddr270.fits,1
43119281218545359,/Users/daiz/summarize_170607/good/warps_43119281218545359_1/coaddf.fits,/Users/daiz/summarize_170607/good/warps_43119281218545359_2/coaddf.fits,/Users/daiz/summarize_170607/good/warps_43119281218545359_3/coaddf.fits,1
43119281218545359,/Users/daiz/summarize_170607/good/warps_43119281218545359_1/coaddfr90.fits,/Users/daiz/summarize_170607/good/warps_43119281218545359_2/coaddfr90.fits,/Users/daiz/summarize_170607/good/warps_43119281218545359_3/coaddfr90.fits,1
43119281218545359,/Users/daiz/summarize_170607/good/warps_43119281218545359_1/coaddfr180.fits,/Users/daiz/summarize_170607/good/warps_43119281218545359_2/coaddfr180.fits,/Users/daiz/summarize_170607/good/warps_43119281218545359_3/coaddfr180.fits,1
43119281218545359,/Users/daiz/summarize_170607/good/warps_43119281218545359_1/coaddfr270.fits,/Users/daiz/summarize_170607/good/warps_43119281218545359_2/coaddfr270.fits,/Users/daiz/summarize_170607/good/warps_43119281218545359_3/coaddfr270.fits,1
41232386121298045,/Users/daiz/summarize_170607/good/warps_41232386121298045_1/coadd.fits,/Users/daiz/summarize_170607/good/warps_41232386121298045_2/coadd.fits,/Users/daiz/summarize_170607/good/warps_41232386121298045_3/coadd.fits,1
41232386121298045,/Users/daiz/summarize_170607/good/warps_41232386121298045_1/coaddr90.fits,/Users/daiz/summarize_170607/good/warps_41232386121298045_2/coaddr90.fits,/Users/daiz/summarize_170607/good/warps_41232386121298045_3/coaddr90.fits,1
41232386121298045,/Users/daiz/summarize_170607/good/warps_41232386121298045_1/coaddr180.fits,/Users/daiz/summarize_170607/good/warps_41232386121298045_2/coaddr180.fits,/Users/daiz/summarize_170607/good/warps_41232386121298045_3/coaddr180.fits,1
41232386121298045,/Users/daiz/summarize_170607/good/warps_41232386121298045_1/coaddr270.fits,/Users/daiz/summarize_170607/good/warps_41232386121298045_2/coaddr270.fits,/Users/daiz/summarize_170607/good/warps_41232386121298045_3/coaddr270.fits,1
41232386121298045,/Users/daiz/summarize_170607/good/warps_41232386121298045_1/coaddf.fits,/Users/daiz/summarize_170607/good/warps_41232386121298045_2/coaddf.fits,/Users/daiz/summarize_170607/good/warps_41232386121298045_3/coaddf.fits,1
41232386121298045,/Users/daiz/summarize_170607/good/warps_41232386121298045_1/coaddfr90.fits,/Users/daiz/summarize_170607/good/warps_41232386121298045_2/coaddfr90.fits,/Users/daiz/summarize_170607/good/warps_41232386121298045_3/coaddfr90.fits,1
